Date,Region,Product,Quantity Sold,Unit Price,Total Sales
2023-01-11,South,Widget D,8,51.25,410.0
2023-01-11,East,Widget A,5,96.21,481.05
2023-01-11,East,Widget B,19,86.92,1651.48
2023-01-11,East,Widget C,3,66.77,200.31
2023-01-11,East,Widget D,14,70.97,993.58
2023-01-11,West,Widget A,16,78.98,1263.68
2023-01-11,West,Widget B,7,21.25,148.75
2023-01-11,West,Widget C,8,32.6,260.8
2023-01-11,West,Widget D,13,89.6,1164.8
2023-01-12,North,Widget A,8,74.38,595.04
2023-01-12,North,Widget B,1,40.3,40.3
2023-01-12,North,Widget C,16,49.01,784.16
2023-01-12,North,Widget D,18,65.0,1170.0
2023-01-12,South,Widget A,18,53.08,955.44
2023-01-12,South,Widget B,12,13.53,162.36
2023-01-12,South,Widget C,13,21.97,285.61
2023-01-12,South,Widget D,2,81.03,162.06
2023-01-12,East,Widget A,7,71.06,497.42
2023-01-12,East,Widget B,10,78.59,785.9
2023-01-12,East,Widget C,7,26.41,184.87
2023-01-12,East,Widget D,17,56.01,952.17
2023-01-12,West,Widget A,2,69.79,139.58
2023-01-12,West,Widget B,19,80.03,1520.57
2023-01-12,West,Widget C,9,58.03,522.27
2023-01-12,West,Widget D,8,39.72,317.76
2023-01-13,North,Widget A,3,70.81,212.43
2023-01-13,North,Widget B,10,54.76,547.6
2023-01-13,North,Widget C,1,10.91,10.91
2023-01-13,North,Widget D,4,96.09,384.36
2023-01-13,South,Widget A,10,34.19,341.9
2023-01-13,South,Widget B,5,41.55,207.75
2023-01-13,South,Widget C,12,25.29,303.48
2023-01-13,South,Widget D,13,78.62,1022.06
2023-01-13,East,Widget A,10,83.95,839.5
2023-01-13,East,Widget B,5,86.35,431.75
2023-01-13,East,Widget C,2,29.12,58.24
2023-01-13,East,Widget D,9,88.15,793.35
2023-01-13,West,Widget A,16,39.92,638.72
2023-01-13,West,Widget B,14,86.28,1207.92
2023-01-13,West,Widget C,7,32.32,226.24
2023-01-13,West,Widget D,9,12.4,111.6
2023-01-14,North,Widget A,10,47.88,478.8
2023-01-14,North,Widget B,8,24.4,195.2
2023-01-14,North,Widget C,2,40.21,80.42
2023-01-14,North,Widget D,20,63.42,1268.4
2023-01-14,South,Widget A,19,97.3,1848.7
2023-01-14,South,Widget B,20,28.4,568.0
2023-01-14,South,Widget C,11,50.03,550.33
2023-01-14,South,Widget D,7,12.29,86.03
2023-01-14,East,Widget A,16,14.92,238.72
2023-01-14,East,Widget B,7,20.84,145.88
2023-01-14,East,Widget C,16,17.42,278.72
2023-01-14,East,Widget D,19,61.14,1161.66
2023-01-14,West,Widget A,19,74.16,1409.04
2023-01-14,West,Widget B,3,73.59,220.77
2023-01-14,West,Widget C,8,21.01,168.08
2023-01-14,West,Widget D,17,38.37,652.29
2023-01-15,North,Widget A,3,94.77,284.31
2023-01-15,North,Widget B,3,28.68,86.04
2023-01-15,North,Widget C,3,21.95,65.85
2023-01-15,North,Widget D,15,91.52,1372.8
2023-01-15,South,Widget A,8,40.93,327.44
2023-01-15,South,Widget B,14,36.4,509.6
2023-01-15,South,Widget C,17,48.05,816.85
2023-01-15,South,Widget D,18,16.21,291.78
2023-01-15,East,Widget A,18,75.85,1365.3
2023-01-15,East,Widget B,17,52.72,896.24
2023-01-15,East,Widget C,13,28.35,368.55
2023-01-15,East,Widget D,3,83.13,249.39
2023-01-15,West,Widget A,19,30.34,576.46
2023-01-15,West,Widget B,19,39.07,742.33
2023-01-15,West,Widget C,14,69.43,972.02
2023-01-15,West,Widget D,12,63.22,758.64
2023-01-16,North,Widget A,8,66.27,530.16
2023-01-16,North,Widget B,10,66.54,665.4
2023-01-16,North,Widget C,19,43.69,830.11
2023-01-16,North,Widget D,3,87.09,261.27
2023-01-16,South,Widget A,17,73.25,1245.25
2023-01-16,South,Widget B,10,46.15,461.5
2023-01-16,South,Widget C,4,39.91,159.64
2023-01-16,South,Widget D,5,27.4,137.0
2023-01-16,East,Widget A,3,92.75,278.25
2023-01-16,East,Widget B,10,80.07,800.7
2023-01-16,East,Widget C,17,84.29,1432.93
2023-01-16,East,Widget D,12,47.43,569.16
2023-01-16,West,Widget A,11,17.08,187.88
2023-01-16,West,Widget B,18,51.06,919.08
2023-01-16,West,Widget C,3,87.35,262.05
2023-01-16,West,Widget D,15,19.94,299.1
2023-01-17,North,Widget A,16,48.7,779.2
2023-01-17,North,Widget B,3,34.47,103.41
2023-01-17,North,Widget C,18,77.59,1396.62
2023-01-17,North,Widget D,14,81.36,1139.04
2023-01-17,South,Widget A,1,92.52,92.52
2023-01-17,South,Widget B,3,37.51,112.53
2023-01-17,South,Widget C,19,48.57,922.83
2023-01-17,South,Widget D,7,81.83,572.81
2023-01-17,East,Widget A,5,61.6,308.0
2023-01-17,East,Widget B,3,56.01,168.03
2023-01-17,East,Widget C,1,88.54,88.54
2023-01-17,East,Widget D,13,10.48,136.24
2023-01-17,West,Widget A,19,42.34,804.46
2023-01-17,West,Widget B,19,30.6,581.4
2023-01-17,West,Widget C,10,93.61,936.1
2023-01-17,West,Widget D,5,71.05,355.25
2023-01-18,North,Widget A,7,37.23,260.61
2023-01-18,North,Widget B,9,67.97,611.73
2023-01-18,North,Widget C,9,64.33,578.97
2023-01-18,North,Widget D,5,51.83,259.15
2023-01-18,South,Widget A,13,19.33,251.29
2023-01-18,South,Widget B,3,16.37,49.11
2023-01-18,South,Widget C,17,13.5,229.5
2023-01-18,South,Widget D,13,55.38,719.94
2023-01-18,East,Widget A,13,19.91,258.83
2023-01-18,East,Widget B,3,89.53,268.59
2023-01-18,East,Widget C,2,82.48,164.96
2023-01-18,East,Widget D,6,27.74,166.44
2023-01-18,West,Widget A,20,17.38,347.6
2023-01-18,West,Widget B,6,75.72,454.32
2023-01-18,West,Widget C,16,66.03,1056.48
2023-01-18,West,Widget D,20,38.22,764.4
2023-01-19,North,Widget A,11,42.91,472.01
2023-01-19,North,Widget B,2,53.45,106.9
2023-01-19,North,Widget C,2,16.14,32.28
2023-01-19,North,Widget D,3,36.69,110.07
2023-01-19,South,Widget A,14,14.32,200.48
2023-01-19,South,Widget B,7,83.3,583.1
2023-01-19,South,Widget C,6,33.48,200.88
2023-01-19,South,Widget D,18,63.76,1147.68
2023-01-19,East,Widget A,4,15.63,62.52
2023-01-19,East,Widget B,10,92.33,923.3
2023-01-19,East,Widget C,11,12.85,141.35
2023-01-19,East,Widget D,9,24.45,220.05
2023-01-19,West,Widget A,9,62.15,559.35
2023-01-19,West,Widget B,11,53.63,589.93
2023-01-19,West,Widget C,13,33.7,438.1
2023-01-19,West,Widget D,8,34.57,276.56
2023-01-20,North,Widget A,3,83.15,249.45
2023-01-20,North,Widget B,12,86.85,1042.2
2023-01-20,North,Widget C,2,81.05,162.1
2023-01-20,North,Widget D,16,50.64,810.24
2023-01-20,South,Widget A,16,12.8,204.8
2023-01-20,South,Widget B,6,12.87,77.22
2023-01-20,South,Widget C,19,98.07,1863.33
2023-01-20,South,Widget D,1,62.92,62.92
2023-01-20,East,Widget A,11,88.59,974.49
2023-01-20,East,Widget B,5,64.1,320.5
2023-01-20,East,Widget C,5,23.16,115.8
2023-01-20,East,Widget D,2,81.46,162.92
2023-01-20,West,Widget A,15,89.33,1339.95
2023-01-20,West,Widget B,17,44.11,749.87
2023-01-20,West,Widget C,11,70.38,774.18
2023-01-20,West,Widget D,4,72.65,290.6
2023-01-21,North,Widget A,14,12.55,175.7
2023-01-21,North,Widget B,18,38.21,687.78
2023-01-21,North,Widget C,15,72.08,1081.2
2023-01-21,North,Widget D,1,63.59,63.59
2023-01-21,South,Widget A,20,94.31,1886.2
2023-01-21,South,Widget B,3,72.9,218.7
2023-01-21,South,Widget C,5,64.7,323.5
2023-01-21,South,Widget D,9,37.64,338.76
2023-01-21,East,Widget A,14,41.76,584.64
2023-01-21,East,Widget B,4,94.65,378.6
2023-01-21,East,Widget C,14,18.31,256.34
2023-01-21,East,Widget D,17,99.6,1693.2
2023-01-21,West,Widget A,13,52.87,687.31
2023-01-21,West,Widget B,16,43.5,696.0
2023-01-21,West,Widget C,13,81.01,1053.13
2023-01-21,West,Widget D,9,35.8,322.2
2023-01-22,North,Widget A,1,58.07,58.07
2023-01-22,North,Widget B,3,84.27,252.81
2023-01-22,North,Widget C,10,92.25,922.5
2023-01-22,North,Widget D,6,45.96,275.76
2023-01-22,South,Widget A,20,96.32,1926.4
2023-01-22,South,Widget B,12,84.05,1008.6
2023-01-22,South,Widget C,15,83.41,1251.15
2023-01-22,South,Widget D,20,80.57,1611.4
2023-01-22,East,Widget A,9,92.39,831.51
2023-01-22,East,Widget B,2,63.21,126.42
2023-01-22,East,Widget C,10,26.08,260.8
2023-01-22,East,Widget D,16,66.45,1063.2
2023-01-22,West,Widget A,11,66.1,727.1
2023-01-22,West,Widget B,1,43.06,43.06
2023-01-22,West,Widget C,19,69.03,1311.57
2023-01-22,West,Widget D,14,83.65,1171.1
2023-01-23,North,Widget A,1,83.63,83.63
2023-01-23,North,Widget B,20,82.37,1647.4
2023-01-23,North,Widget C,3,20.83,62.49
2023-01-23,North,Widget D,17,81.16,1379.72
2023-01-23,South,Widget A,12,36.12,433.44
2023-01-23,South,Widget B,7,20.21,141.47
2023-01-23,South,Widget C,9,87.12,784.08
2023-01-23,South,Widget D,1,40.06,40.06
2023-01-23,East,Widget A,1,62.24,62.24
2023-01-23,East,Widget B,20,85.0,1700.0
2023-01-23,East,Widget C,17,41.86,711.62
2023-01-23,East,Widget D,1,58.67,58.67
2023-01-23,West,Widget A,12,60.11,721.32
2023-01-23,West,Widget B,9,50.32,452.88
2023-01-23,West,Widget C,13,12.42,161.46
2023-01-23,West,Widget D,12,14.69,176.28
2023-01-24,North,Widget A,12,18.48,221.76
2023-01-24,North,Widget B,15,65.07,976.05
2023-01-24,North,Widget C,1,78.9,78.9
2023-01-24,North,Widget D,18,77.44,1393.92
2023-01-24,South,Widget A,17,75.23,1278.91
2023-01-24,South,Widget B,17,82.08,1395.36
2023-01-24,South,Widget C,5,77.08,385.4
2023-01-24,South,Widget D,1,14.65,14.65
2023-01-24,East,Widget A,9,41.5,373.5
2023-01-24,East,Widget B,10,94.64,946.4
2023-01-24,East,Widget C,2,97.73,195.46
2023-01-24,East,Widget D,8,87.07,696.56
2023-01-24,West,Widget A,9,67.95,611.55
2023-01-24,West,Widget B,19,57.87,1099.53
2023-01-24,West,Widget C,3,70.31,210.93
2023-01-24,West,Widget D,11,70.09,770.99
2023-01-25,North,Widget A,2,32.23,64.46
2023-01-25,North,Widget B,19,48.47,920.93
2023-01-25,North,Widget C,18,51.65,929.7
2023-01-25,North,Widget D,7,62.47,437.29
2023-01-25,South,Widget A,14,34.78,486.92
2023-01-25,South,Widget B,2,45.01,90.02
2023-01-25,South,Widget C,11,95.53,1050.83
2023-01-25,South,Widget D,4,34.7,138.8
2023-01-25,East,Widget A,10,77.9,779.0
2023-01-25,East,Widget B,12,75.02,900.24
2023-01-25,East,Widget C,3,35.63,106.89
2023-01-25,East,Widget D,1,61.21,61.21
2023-01-25,West,Widget A,10,77.25,772.5
2023-01-25,West,Widget B,5,45.44,227.2
2023-01-25,West,Widget C,15,25.58,383.7
2023-01-25,West,Widget D,18,69.26,1246.68
2023-01-26,North,Widget A,15,14.01,210.15
2023-01-26,North,Widget B,13,79.75,1036.75
2023-01-26,North,Widget C,14,22.4,313.6
2023-01-26,North,Widget D,9,68.69,618.21
2023-01-26,South,Widget A,15,43.51,652.65
2023-01-26,South,Widget B,4,41.35,165.4
2023-01-26,South,Widget C,6,93.32,559.92
2023-01-26,South,Widget D,13,49.16,639.08
2023-01-26,East,Widget A,6,81.86,491.16
2023-01-26,East,Widget B,12,73.42,881.04
2023-01-26,East,Widget C,15,69.14,1037.1
2023-01-26,East,Widget D,20,48.72,974.4
2023-01-26,West,Widget A,4,89.88,359.52
2023-01-26,West,Widget B,3,49.92,149.76
2023-01-26,West,Widget C,1,53.03,53.03
2023-01-26,West,Widget D,19,58.41,1109.79
2023-01-27,North,Widget A,9,74.97,674.73
2023-01-27,North,Widget B,19,89.83,1706.77
2023-01-27,North,Widget C,13,62.77,816.01
2023-01-27,North,Widget D,7,38.16,267.12
2023-01-27,South,Widget A,17,51.13,869.21
2023-01-27,South,Widget B,8,24.15,193.2
2023-01-27,South,Widget C,18,11.39,205.02
2023-01-27,South,Widget D,13,55.66,723.58
2023-01-27,East,Widget A,2,80.08,160.16
2023-01-27,East,Widget B,18,78.74,1417.32
2023-01-27,East,Widget C,3,44.05,132.15
2023-01-27,East,Widget D,4,75.76,303.04
2023-01-27,West,Widget A,9,84.81,763.29
2023-01-27,West,Widget B,19,86.79,1649.01
2023-01-27,West,Widget C,15,10.44,156.6
2023-01-27,West,Widget D,1,66.49,66.49
2023-01-28,North,Widget A,2,38.37,76.74
2023-01-28,North,Widget B,15,27.03,405.45
2023-01-28,North,Widget C,13,97.42,1266.46
2023-01-28,North,Widget D,5,46.09,230.45
2023-01-28,South,Widget A,20,32.16,643.2
2023-01-28,South,Widget B,12,57.31,687.72
2023-01-28,South,Widget C,15,88.55,1328.25
2023-01-28,South,Widget D,15,42.05,630.75
2023-01-28,East,Widget A,2,89.58,179.16
2023-01-28,East,Widget B,14,28.34,396.76
2023-01-28,East,Widget C,5,47.85,239.25
2023-01-28,East,Widget D,11,82.42,906.62
2023-01-28,West,Widget A,15,40.61,609.15
2023-01-28,West,Widget B,12,56.44,677.28
2023-01-28,West,Widget C,20,93.4,1868.0
2023-01-28,West,Widget D,18,84.72,1524.96
2023-01-29,North,Widget A,12,79.95,959.4
2023-01-29,North,Widget B,9,17.91,161.19
2023-01-29,North,Widget C,17,89.54,1522.18
2023-01-29,North,Widget D,6,72.12,432.72
2023-01-29,South,Widget A,12,97.99,1175.88
2023-01-29,South,Widget B,18,93.82,1688.76
2023-01-29,South,Widget C,19,52.59,999.21
2023-01-29,South,Widget D,1,83.11,83.11
2023-01-29,East,Widget A,12,20.05,240.6
2023-01-29,East,Widget B,14,63.13,883.82
2023-01-29,East,Widget C,11,26.3,289.3
2023-01-29,East,Widget D,4,37.54,150.16
2023-01-29,West,Widget A,6,47.16,282.96
2023-01-29,West,Widget B,20,36.6,732.0
2023-01-29,West,Widget C,9,63.77,573.93
2023-01-29,West,Widget D,10,21.82,218.2
2023-01-30,North,Widget A,10,28.68,286.8
2023-01-30,North,Widget B,4,79.5,318.0
2023-01-30,North,Widget C,5,41.84,209.2
2023-01-30,North,Widget D,20,22.65,453.0
2023-01-30,South,Widget A,20,50.69,1013.8
2023-01-30,South,Widget B,11,57.75,635.25
2023-01-30,South,Widget C,20,28.41,568.2
2023-01-30,South,Widget D,11,49.82,548.02
2023-01-30,East,Widget A,17,16.84,286.28
2023-01-30,East,Widget B,12,40.08,480.96
2023-01-30,East,Widget C,8,50.74,405.92
2023-01-30,East,Widget D,7,46.92,328.44
2023-01-30,West,Widget A,14,88.06,1232.84
2023-01-30,West,Widget B,13,32.48,422.24
2023-01-30,West,Widget C,4,18.74,74.96
2023-01-30,West,Widget D,5,33.24,166.2
2023-01-31,North,Widget A,8,48.17,385.36
2023-01-31,North,Widget B,1,80.47,80.47
2023-01-31,North,Widget C,13,30.77,400.01
2023-01-31,North,Widget D,6,63.91,383.46
2023-01-31,South,Widget A,18,60.66,1091.88
2023-01-31,South,Widget B,1,59.49,59.49
2023-01-31,South,Widget C,9,86.34,777.06
2023-01-31,South,Widget D,2,40.51,81.02
2023-01-31,East,Widget A,7,90.66,634.62
2023-01-31,East,Widget B,11,52.08,572.88
2023-01-31,East,Widget C,20,88.16,1763.2
2023-01-31,East,Widget D,18,96.08,1729.44
2023-01-31,West,Widget A,2,50.04,100.08
2023-01-31,West,Widget B,5,89.42,447.1
2023-01-31,West,Widget C,11,22.05,242.55
2023-01-31,West,Widget D,14,39.77,556.78
2023-02-01,North,Widget A,1,30.78,30.78
2023-02-01,North,Widget B,16,97.24,1555.84
2023-02-01,North,Widget C,6,32.64,195.84
2023-02-01,North,Widget D,13,27.55,358.15
2023-02-01,South,Widget A,2,22.34,44.68
2023-02-01,South,Widget B,13,28.51,370.63
2023-02-01,South,Widget C,4,39.41,157.64
2023-02-01,South,Widget D,8,45.7,365.6
2023-02-01,East,Widget A,5,72.11,360.55
2023-02-01,East,Widget B,18,62.02,1116.36
2023-02-01,East,Widget C,16,77.52,1240.32
2023-02-01,East,Widget D,3,93.34,280.02
2023-02-01,West,Widget A,19,44.88,852.72
2023-02-01,West,Widget B,7,83.6,585.2
2023-02-01,West,Widget C,17,81.03,1377.51
2023-02-01,West,Widget D,2,70.22,140.44
2023-02-02,North,Widget A,2,46.34,92.68
2023-02-02,North,Widget B,20,40.35,807.0
2023-02-02,North,Widget C,11,35.73,393.03
2023-02-02,North,Widget D,4,82.86,331.44
2023-02-02,South,Widget A,15,36.03,540.45
2023-02-02,South,Widget B,18,84.59,1522.62
2023-02-02,South,Widget C,10,12.0,120.0
2023-02-02,South,Widget D,20,35.71,714.2
2023-02-02,East,Widget A,16,71.16,1138.56
2023-02-02,East,Widget B,19,65.57,1245.83
2023-02-02,East,Widget C,7,79.49,556.43
2023-02-02,East,Widget D,13,98.53,1280.89
2023-02-02,West,Widget A,19,24.82,471.58
2023-02-02,West,Widget B,5,92.13,460.65
2023-02-02,West,Widget C,5,24.61,123.05
2023-02-02,West,Widget D,10,51.79,517.9
2023-02-03,North,Widget A,5,23.6,118.0
2023-02-03,North,Widget B,2,54.26,108.52
2023-02-03,North,Widget C,15,31.45,471.75
2023-02-03,North,Widget D,1,32.65,32.65
2023-02-03,South,Widget A,9,41.51,373.59
2023-02-03,South,Widget B,11,25.86,284.46
2023-02-03,South,Widget C,9,69.45,625.05
2023-02-03,South,Widget D,4,23.15,92.6
2023-02-03,East,Widget A,17,27.15,461.55
2023-02-03,East,Widget B,18,30.2,543.6
2023-02-03,East,Widget C,10,78.86,788.6
2023-02-03,East,Widget D,10,57.26,572.6
2023-02-03,West,Widget A,8,14.83,118.64
2023-02-03,West,Widget B,13,29.24,380.12
2023-02-03,West,Widget C,11,16.56,182.16
2023-02-03,West,Widget D,2,18.7,37.4
2023-02-04,North,Widget A,13,79.84,1037.92
2023-02-04,North,Widget B,3,26.09,78.27
2023-02-04,North,Widget C,10,63.94,639.4
2023-02-04,North,Widget D,6,14.24,85.44
2023-02-04,South,Widget A,4,45.75,183.0
2023-02-04,South,Widget B,11,11.9,130.9
2023-02-04,South,Widget C,11,90.85,999.35
2023-02-04,South,Widget D,8,49.66,397.28
2023-02-04,East,Widget A,14,22.54,315.56
2023-02-04,East,Widget B,7,85.84,600.88
2023-02-04,East,Widget C,12,27.58,330.96
2023-02-04,East,Widget D,20,25.0,500.0
2023-02-04,West,Widget A,5,44.62,223.1
2023-02-04,West,Widget B,18,91.89,1654.02
2023-02-04,West,Widget C,20,63.61,1272.2
2023-02-04,West,Widget D,8,89.27,714.16
2023-02-05,North,Widget A,7,31.09,217.63
2023-02-05,North,Widget B,2,66.3,132.6
2023-02-05,North,Widget C,7,86.84,607.88
2023-02-05,North,Widget D,2,19.68,39.36
2023-02-05,South,Widget A,2,37.65,75.3
2023-02-05,South,Widget B,2,16.55,33.1
2023-02-05,South,Widget C,15,82.43,1236.45
2023-02-05,South,Widget D,11,28.22,310.42
2023-02-05,East,Widget A,7,72.9,510.3
2023-02-05,East,Widget B,13,78.99,1026.87
2023-02-05,East,Widget C,20,10.26,205.2
2023-02-05,East,Widget D,15,84.32,1264.8
2023-02-05,West,Widget A,11,58.38,642.18
2023-02-05,West,Widget B,7,34.93,244.51
2023-02-05,West,Widget C,5,73.97,369.85
2023-02-05,West,Widget D,1,30.54,30.54
